"service_product","count"
"debit",190495
"topup",171311
"credit",142263
"topupfee",77043
"dvcashin",58149
"fee",51054
"topup_rev",48552
"transferin",41125
"transferout",36941
"debit_rev",26813
"manualtopup",16087
"AIS",7759
"TRUE",7700
"TMNTOPUP",7677
"DTAC",7642
"KBANKDEPOSIT",6849
"SCBDEPOSIT",6490
"KTBDEPOSIT",6406
"TRUEPROSERM",5101
"M-150 น้ำผึ้ง 150 มล.",4970
"MYCAT",4792
"dvcashin_rev",4530
"AISPROSERM",4481
"AIRPAYWALLET",4449
"GSBDEPOSITONLINE",4319
"PEA",4230
"DTACPROSERM",4193
"BAACDEPOSIT",4044
"TMNEPIN",3633
"credit_rev",3615
"คาราบาวแดง",3593
"commission",3061
"payrolltopup",2993
"น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",2868
"เป๊ปซี่ สลิม 245 มล.",2843
"GSBDEPOSIT",2755
"โค้ก-สลิม",2664
"3BBONLINE",2537
"บิ๊กกรีนที น้ำผึ้งผสมมะนาว",2274
"BAYDEPOSIT",2190
"เมจิกฟาร์ม มะพร้าว",2115
"เอ็ม-150",1953
"น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",1871
"เนสกาแฟ เอสเปรสโซ",1800
"APLAY",1772
"เนสกาแฟ ลาเต้",1733
"เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",1652
"xferin",1576
"xferout",1576
"บิ๊กกรีนที",1548
"ชเวปส์",1479
"เอส-โคล่า",1346
"สิงห์ เลมอนโซดา 330 มล.",1283
"เอส เพลย์ ครีมโซดา",1267
"เบอร์ดี้โรบัสต้า 180 มล.",1227
"แฟนต้า แดง 245 มล.",1224
"เอส เพลย์ เกรปเบอร์รี่ 250 มล.",1174
"UFC- เฉาก๊วย",1155
"บิ๊กโคล่า-น้ำดำ",1139
"AISBILL",1132
"โวลต์ กาแฟอีนและซิงค์ 215 มล.",1063
"TRUEPOSTPAID",976
"ซีวิท-ออเร้นจ์",938
"611 น้ำเกลือแร่(Six.Eleven)",886
"611 น้ำวิตามินซี (Six.Eleven)",874
"611 เอ็มจอย 300ml. องุ่น",866
"RABBITLINEPAY",854
"เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)",854
"ซีวิท-เลมอน",748
"น้ำดื่มเวนดิ้งพลัส อัลคาไลน์วอเตอร์",652
"อิชิตัน เย็นเย็น จับเลี้ยง 275ml.",647
"โค้ก-ซีโร่ 245ml. (1x12)",634
"DTACPOSTPAIDONLINE",619
"611 เอ็มจอย300ml ลิ้นจี่",525
"มาม่า คัพ ต้มยำกุ้ง",509
"ลิปตัน ไอซ์ที",502
"มาม่า คัพ ต้มยำกุ้งน้ำข้น 60 กรัม",485
"เทสโต แผ่นหยัก ปูผัดผงกระหรี่",465
"เบอร์ดี้เอสเปรสโซ",463
"ปาปริก้า",452
"ปาร์ตี้ คาราเมล",451
"มาม่า คัพ หมูสับ",443
"สแน็คแจ๊ค",443
