"entity","device","service_product","count"
"VDC","VDC52275","TRUE",1625
"VDC","VDC52275","AIRPAYWALLET",1625
"VDC","VDC52275","TMNEPIN",1625
"VDC","VDC52275","AIS",1625
"VDC","VDC52275","SCBDEPOSIT",1625
"VDC","VDC52275","BAACDEPOSIT",1625
"VDC","VDC52275","DTAC",1625
"VDC","VDC52275","GSBDEPOSITONLINE",1625
"VDC","VDC52275","PEA",1625
"VDC","VDC52275","MYCAT",1625
"VDC","VDC52275","TMNTOPUP",1625
"VDC","VDC52275","KTBDEPOSIT",1625
"VDC","VDC52275","3BBONLINE",1625
"VDC","VDC52275","TRUEPROSERM",1625
"VDC","VDC52275","KBANKDEPOSIT",1625
"VDP","VFE556","เอ็ม-150",810
"VDP","VFS236","เทสโต แผ่นหยัก ปูผัดผงกระหรี่",696
"VDP","VFS236","ฮานามิ",696
"VDP","VFS236","ปาปริก้า",696
"VDP","VFE782","M-150 น้ำผึ้ง 150 มล.",651
"VDP","VFE782","คาราบาวแดง",651
"VDP","VFE1734","M-150 น้ำผึ้ง 150 มล.",580
"VDP","VFE790","น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",510
"VDP","VFS236","เทสโต แผ่นเรียบ รสสาหร่ายญี่ปุ่น 52 กรัม",464
"VDP","VFS236","ทาโร่โรล 2ม. รสเข้มข้น",464
"VDP","VFS236","สแน็คแจ๊ค",464
"VDP","VFS236","เลย์ รสมันฝรั่งแท้ออริจินัลแผ่นหยัก",464
"VDP","VFS236","โดโซะรสคอร์นชีส 56g (10ชิ้น)",464
"VDP","VFS236","ลูกอมฮอล์น้ำผึ้ง(แผง)",464
"VDP","VFS236","ลูกอมรสมะนาวผสมเกลือหิมาลัย",464
"VDP","VFS236","มาม่า คัพ หมูสับ",464
"VDP","VFS236","โดโซะรสกลมกล่อม 56g (10ชิ้น)",464
"VDP","VFS236","โคอะล่ามาร์ช-สตรอเบอร์รี",464
"VDP","VFS236","โคอะล่ามาร์ช-ช๊อกโกแล็ต",464
"VDP","VFS236","คอนเน่",464
"VDP","VFE369","M-150 น้ำผึ้ง 150 มล.",464
"VDP","VFS236","มาม่า คัพ ต้มยำกุ้งน้ำข้น 60 กรัม",464
"VDP","VFS236","มาม่า คัพ ต้มยำกุ้ง",464
"VDP","VFS236","พริงเกิลส์-ดั้งเดิม",464
"VDP","VFS236","พริงเกิลส์-ซาวครีม",464
"VDP","VFS236","ปาร์ตี้ คาราเมล",464
"VDP","VFE782","เอ็ม-150",434
"VDP","VFE782","น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",434
"VDP","VFE782","โวลต์ กาแฟอีนและซิงค์ 215 มล.",434
"VDP","VFE2482","M-150 น้ำผึ้ง 150 มล.",420
"VDP","VFE1083","M-150 น้ำผึ้ง 150 มล.",420
"VDP","VFE556","อิชิตัน เย็นเย็น จับเลี้ยง 275ml.",360
"VDP","VFE556","เนสกาแฟ ลาเต้",360
"VDP","VFE369","เมจิกฟาร์ม มะพร้าว",348
"VDP","VFE1608","น้ำแร่มองต์เฟลอ",340
