"entity","device","lat_lng"
"VDC","AJT100417","0 , 0"
"VDC","AJT106244","0 , 0"
"VDC","AJT106815","0 , 0"
"VDC","AJT109984","0 , 0"
"VDC","AJT112133","0 , 0"
"VDC","AJT112514","0 , 0"
"VDC","AJT113213","0 , 0"
"VDC","AJT11448","0 , 0"
"VDC","AJT12020","0 , 0"
"VDC","AJT12137","0 , 0"
"VDC","AJT13639","0 , 0"
"VDC","AJT14132","0 , 0"
"VDC","AJT16552","0 , 0"
"VDC","AJT17573","0 , 0"
"VDC","AJT1758","0 , 0"
"VDC","AJT17648","0 , 0"
"VDC","AJT18022","0 , 0"
"VDC","AJT1892","0 , 0"
"VDC","AJT19319","0 , 0"
"VDC","AJT19800","0 , 0"
"VDC","AJT21679","0 , 0"
"VDC","AJT23453","0 , 0"
"VDC","AJT23631","0 , 0"
"VDC","AJT24332","0 , 0"
"VDC","AJT24528","0 , 0"
"VDC","AJT2915","0 , 0"
"VDC","AJT30350","0 , 0"
"VDC","AJT30467","0 , 0"
"VDC","AJT31937","0 , 0"
"VDC","AJT32026","0 , 0"
"VDC","AJT33886","0 , 0"
"VDC","AJT36117","0 , 0"
"VDC","AJT37864","0 , 0"
"VDC","AJT38608","0 , 0"
"VDC","AJT39659","0 , 0"
"VDC","AJT41301","0 , 0"
"VDC","AJT41599","0 , 0"
"VDC","AJT41720","0 , 0"
"VDC","AJT42743","0 , 0"
"VDC","AJT4339","0 , 0"
"VDC","AJT44601","0 , 0"
"VDC","AJT44692","0 , 0"
"VDC","AJT45049","0 , 0"
"VDC","AJT46741","0 , 0"
"VDC","AJT46936","0 , 0"
"VDC","AJT47825","0 , 0"
"VDC","AJT47859","0 , 0"
"VDC","AJT48546","0 , 0"
"VDC","AJT48956","0 , 0"
"VDC","AJT49339","0 , 0"
"VDC","AJT49561","0 , 0"
"VDC","AJT52626","0 , 0"
"VDC","AJT54358","0 , 0"
"VDC","AJT54410","0 , 0"
"VDC","AJT54639","0 , 0"
"VDC","AJT54808","0 , 0"
"VDC","AJT55142","0 , 0"
"VDC","AJT56195","0 , 0"
"VDC","AJT57374","0 , 0"
"VDC","AJT58221","0 , 0"
"VDC","AJT58237","0 , 0"
"VDC","AJT58876","0 , 0"
"VDC","AJT60079","0 , 0"
"VDC","AJT64189","0 , 0"
"VDC","AJT64715","0 , 0"
"VDC","AJT68816","0 , 0"
"VDC","AJT7407","0 , 0"
"VDC","AJT793","0 , 0"
"VDC","AJT80070","0 , 0"
"VDC","AJT80784","0 , 0"
"VDC","AJT906","0 , 0"
"VDC","AJT9347","0 , 0"
"VDC","AJT9806","0 , 0"
"Sabuy Counter","QSS131","13.6468583333333342 , 100.430366666666671"
"VDC","VDC10189","0 , 0"
"VDC","VDC10914","16.727646666666665 , 102.858994999999993"
"VDC","VDC11000","0 , 0"
"VDC","VDC11017","13.6558500000000027 , 100.428481666666656"
"VDC","VDC11047","0 , 0"
"VDC","VDC11164","0 , 0"
"VDC","VDC11475","0 , 0"
"VDC","VDC11578","14.6315566666666648 , 101.608844999999988"
"VDC","VDC14676","0 , 0"
"VDC","VDC15115","0 , 0"
"VDC","VDC15117","0 , 0"
"VDC","VDC15275","0 , 0"
"VDC","VDC15553","0 , 0"
"VDC","VDC15889","0 , 0"
"VDC","VDC15924","0 , 0"
"VDC","VDC16013","0 , 0"
"VDC","VDC16528","13.7074850000000001 , 100.342966666666655"
"VDC","VDC16586","0 , 0"
"VDC","VDC16692","0 , 0"
"VDC","VDC17077","0 , 0"
"VDC","VDC17104","16.4229050000000001 , 101.162855000000008"
"VDC","VDC17126","0 , 0"
"VDC","VDC17131","0 , 0"
"VDC","VDC17133","0 , 0"
"VDC","VDC17607","13.7251783333333339 , 100.392055000000013"
"VDC","VDC18012","0 , 0"
"VDC","VDC18251","0 , 0"
"VDC","VDC18381","13.5865849999999977 , 100.326068333333325"
"VDC","VDC18455","0 , 0"
"VDC","VDC18462","6.02025499999999969 , 101.924951666666672"
"VDC","VDC18748","0 , 0"
"VDC","VDC18776","16.0204033333333342 , 102.739328333333347"
"VDC","VDC19502","15.8243883333333315 , 103.518321666666665"
"VDC","VDC19781","0 , 0"
"VDC","VDC20030","17.0657566666666689 , 102.487075000000004"
"VDC","VDC20507","13.6324550000000002 , 100.42671666666665"
"VDC","VDC20879","0 , 0"
"VDC","VDC21148","0 , 0"
"VDC","VDC21430","0 , 0"
"VDC","VDC21443","13.8890433333333316 , 100.576663333333329"
"VDC","VDC21444","13.0999200000000009 , 101.012913333333316"
"VDC","VDC21445","0 , 0"
"VDC","VDC21502","0 , 0"
"VDC","VDC22242","0 , 0"
"VDC","VDC22482","0 , 0"
"VDC","VDC22535","8.34336833333333239 , 100.071030000000007"
"VDC","VDC22708","14.9992199999999993 , 102.125974999999983"
"VDC","VDC22709","17.4863133333333316 , 103.454144999999997"
"VDC","VDC22713","16.4324483333333333 , 102.840454999999992"
"VDC","VDC22722","15.5763483333333319 , 104.400351666666666"
"VDC","VDC22727","0 , 0"
"VDC","VDC22751","13.5950233333333319 , 100.755156666666664"
"VDC","VDC22757","0 , 0"
"VDC","VDC22764","13.2875583333333331 , 101.391411666666684"
"VDC","VDC22793","0 , 0"
"VDC","VDC22802","0 , 0"
"VDC","VDC22809","15.9025750000000023 , 105.280851666666663"
"VDC","VDC22819","0 , 0"
"VDC","VDC22896","13.6280583333333354 , 100.719115000000002"
"VDC","VDC22955","18.5783533333333324 , 99.0475250000000074"
"VDC","VDC2305","13.6028066666666678 , 100.556906666666663"
"VDC","VDC23872","16.781841666666665 , 101.24040500000001"
"VDC","VDC24110","13.9573783333333346 , 100.65149000000001"
"VDC","VDC24133","12.9745133333333342 , 100.913756666666657"
"VDC","VDC24296","16.7803566666666661 , 101.261908333333338"
"VDC","VDC25067","0 , 0"
"VDC","VDC25140","0 , 0"
"VDC","VDC25160","0 , 0"
"VDC","VDC25714","14.9892266666666654 , 104.391076666666649"
"VDC","VDC25835","16.7838233333333307 , 101.244998333333328"
"VDC","VDC25855","0 , 0"
"VDC","VDC25861","13.5777750000000008 , 100.806073333333345"
"VDC","VDC25866","0 , 0"
"VDC","VDC25870","14.9948966666666674 , 100.34431166666667"
"VDC","VDC25874","0 , 0"
"VDC","VDC25877","0 , 0"
"VDC","VDC25918","13.5834549999999989 , 100.686721666666656"
"VDC","VDC25933","13.6774250000000013 , 100.319403333333327"
"VDC","VDC2597","12.9575533333333315 , 101.288759999999996"
"VDC","VDC26439","0 , 0"
