"service_product","count"
"debit",10183013
"topup",10146139
"credit",10052018
"dvcashin",9922627
"topupfee",7279673
"topup_rev",7224252
"manualtopup",2739641
"debit_rev",2714926
"credit_rev",2680943
"commission",2680734
"fee",110918
"transferout",68912
"transferin",67372
"dvcashin_rev",14191
"AIS",10338
"TRUE",10310
"TMNTOPUP",10109
"DTAC",10075
"KBANKDEPOSIT",9168
"M-150 น้ำผึ้ง 150 มล.",8595
"SCBDEPOSIT",8381
"AISPROSERM",8354
"KTBDEPOSIT",8341
"payrolltopup",7347
"DTACPROSERM",6834
"TRUEPROSERM",6209
"คาราบาวแดง",5686
"MYCAT",5602
"GSBDEPOSIT",5320
"GSBDEPOSITONLINE",5165
"เป๊ปซี่ สลิม 245 มล.",5107
"xferin",5074
"xferout",5074
"น้ำดื่ม อุลตร้าแมน ขนาด 500ml.",5003
"โค้ก-สลิม",4972
"PEA",4702
"BAACDEPOSIT",4009
"AIRPAYWALLET",3970
"บิ๊กกรีนที น้ำผึ้งผสมมะนาว",3729
"น้ำแร่ อุลตร้าแมน ขนาด 500 มล.",3572
"manualcredit",3565
"TMNEPIN",3543
"เมจิกฟาร์ม มะพร้าว",3527
"manualtopup_rev",3363
"เนสกาแฟ เอสเปรสโซ",2992
"APLAY",2933
"บิ๊กกรีนที",2894
"เอ็ม-150",2855
"เนสกาแฟ ลาเต้",2769
"BAYDEPOSIT",2659
"ชเวปส์",2556
"เอส เพลย์ ครีมโซดา",2506
"เอส-โคล่า",2500
"เครื่องดื่มเจลลี่รสสตรอเบอร์รี่6.11",2403
"เบอร์ดี้โรบัสต้า 180 มล.",2380
"เอส เพลย์ เกรปเบอร์รี่ 250 มล.",2310
"UFC- เฉาก๊วย",2238
"แฟนต้า แดง 245 มล.",2237
"AISBILL",2213
"โวลต์ กาแฟอีนและซิงค์ 215 มล.",2110
"บิ๊กโคล่า-น้ำดำ",2104
"ซีวิท-ออเร้นจ์",1885
"สิงห์ เลมอนโซดา 330 มล.",1854
"เอส เพลย์ สตรอเบอร์รี่ 250 มล. (กระป๋อง)",1742
"611 น้ำเกลือแร่(Six.Eleven)",1639
"ซีวิท-เลมอน",1553
"611 น้ำวิตามินซี (Six.Eleven)",1527
"manualdebit",1352
"โค้ก-ซีโร่ 245ml. (1x12)",1276
"TRUEPOSTPAID",1221
"ปาปริก้า",1214
"เทสโต แผ่นหยัก ปูผัดผงกระหรี่",1211
"ฮานามิ",1187
"เบอร์ดี้เอสเปรสโซ",1172
"มาม่า คัพ ต้มยำกุ้ง",1137
"สแน็คแจ๊ค",1075
"อิชิตัน เย็นเย็น จับเลี้ยง 275ml.",1072
"611 เอ็มจอย 300ml. องุ่น",1038
"ปาร์ตี้ คาราเมล",1026
"คอนเน่",1016
"เทสโต แผ่นเรียบ รสสาหร่ายญี่ปุ่น 52 กรัม",1014
"มาม่า คัพ หมูสับ",987
"มาม่า คัพ ต้มยำกุ้งน้ำข้น 60 กรัม",975
"เลย์ รสมันฝรั่งแท้ออริจินัลแผ่นหยัก",948
"611 เอ็มจอย300ml ลิ้นจี่",946
"เครื่องดื่มกัญชง ตรา คามูซี",876
"DTACPOSTPAIDONLINE",828
"3BBONLINE",822
"นิสชิน พรีเมี่ยมคัพ รสไก่เผ็ดเกาหลี",796
"เลย์ รสเอ๊กซ์ตร้า บาร์บีคิว",770
"เลย์ รสโนริสาหร่าย",765
"น้ำดื่มเวนดิ้งพลัส อัลคาไลน์วอเตอร์",726
"พริงเกิลส์-ซาวครีม",724
"โดโซะรสคอร์นชีส 56g (10ชิ้น)",722
"RABBITLINEPAY",713
"ลิปตัน ไอซ์ที",710
"น้ำแร่มองต์เฟลอ",641
"โดโซะรสกลมกล่อม 56g (10ชิ้น)",627
"พริงเกิลส์-ดั้งเดิม",606
"SBMTOPUPWALLET",603
"ลูกอมรสมะนาวผสมเกลือหิมาลัย",526
"เขาช่อง ถั่วลิสงอบเกลือ 42 กรัม",518
"เจเล่ บิวตี้ แบล็คเคอเรนท์ 150 กรัม",488
"โคอะล่ามาร์ช-ช๊อกโกแล็ต",487
"เจเล่ บิวตี้ วิตามิน เอ.ซี.อี. 150 กรัม",486
"PWA",485
"โค้ก (ขวด)",462
"โคอะล่ามาร์ช-สตรอเบอร์รี",421
"ลูกอมฮอล์น้ำผึ้ง(แผง)",409
"นมไวตามิ้ลค์ กล่องสูตรออริจินอล 300 มล.",391
"ทาโร่โรล 2ม. รสเข้มข้น",382
"โฟร์โมสต์ยูเอที225มล.รสหวาน",352
"เขาช่อง ถั่วลิสงเคลือบรสกาแฟ 30 กรัม",351
"CIMBDEPOSIT",344
"นมถั่วเหลืองแลตตาซอย รสหวาน250มล.",334
"โฟร์โมสต์ นมยูเอชที รสช็อกโกแลต 225 มล.",328
"โฟร์โมสต์ นมยูเอชที รสจืด 225 มล.",308
"ยูนิฟ น้ำผักผสมผลไม้รวม แครอทม่วง",294
"TRUEONLINE",284
"โฟร์โมสต์ โอเมก้าโยเกิร์ต รสผลไม้",253
"ยูนิฟ น้ำผักผสมผลไม้รวมผักใบเขียว",252
"TRIPLETBB",251
"GETFRIEND",244
"โฟร์โมสต์ โอเมก้าโยเกิร์ต รสส้ม",235
